Long Name,Short Name (TMF Code),URL,Versions
Agreement Management API,TMF651,https://www.tmforum.org/oda/open-apis/directory/agreement-management-api-TMF651/v4.0,v4; v5
Partnership Management API,TMF668,https://www.tmforum.org/oda/open-apis/directory/partnership-management-api-TMF668/v4.0,v3; v4
Party Interaction Management API,TMF683,https://www.tmforum.org/oda/open-apis/directory/party-interaction-management-api-TMF683/v5.0,v4; v5
Party Management API,TMF632,https://www.tmforum.org/oda/open-apis/directory/party-management-api-TMF632/v5.0,v4; v5
Party Role Management API,TMF669,https://www.tmforum.org/oda/open-apis/directory/party-role-management-api-TMF669/v5.0,v4; v5
Privacy Management API,TMF644,https://www.tmforum.org/oda/open-apis/directory/privacy-management-api-TMF644/v5.0,v4; v5
Revenue Sharing Algorithm Management API,TMF736,https://www.tmforum.org/oda/open-apis/directory/revenue-sharing-algorithm-management-api-TMF736/v5.0,v5
Revenue Sharing Model Management,TMF738,https://www.tmforum.org/oda/open-apis/directory/revenue-sharing-model-management-TMF738/v5.0,v5
Revenue Sharing Report Management API,TMF737,https://www.tmforum.org/oda/open-apis/directory/revenue-sharing-report-management-api-TMF737/v5.0,v5
Shipment Management Management API,TMF711,https://www.tmforum.org/oda/open-apis/directory/shipment-management-management-api-TMF711/v4.0,v4
Shipment Tracking Management API,TMF684,https://www.tmforum.org/oda/open-apis/directory/shipment-tracking-management-api-TMF684/v1.0.0,v1
Shipping Order Management API,TMF700,https://www.tmforum.org/oda/open-apis/directory/shipping-order-management-api-TMF700/v4.0,v4; v5
SLA Management API,TMF623,https://www.tmforum.org/oda/open-apis/directory/sla-management-api-TMF623/v2.0.0,v2
Work Management,TMF713,https://www.tmforum.org/oda/open-apis/directory/work-management-TMF713/v4.0,v4
Work Order Management API,TMF697,https://www.tmforum.org/oda/open-apis/directory/work-order-management-api-TMF697/v5.0,v4; v5
AI Management API,TMF915,https://www.tmforum.org/oda/open-apis/directory/ai-management-api-TMF915/v4.0,v4
CDR Transaction Management API,TMF735,https://www.tmforum.org/oda/open-apis/directory/cdr-transaction-management-api-TMF735/v5.0,v5
Change Management API,TMF655,https://www.tmforum.org/oda/open-apis/directory/change-management-api-TMF655/v4.0,v3; v4
Closed Loop Management,TMF753,https://www.tmforum.org/oda/open-apis/directory/closed-loop-management-TMF753/v5.0,v5
Communication Management API,TMF681,https://www.tmforum.org/oda/open-apis/directory/communication-management-api-TMF681/v4.0,v3; v4
Cost Management API,TMF764,https://www.tmforum.org/oda/open-apis/directory/cost-management-api-TMF764,v5
Digital Identity Management API,TMF720,https://www.tmforum.org/oda/open-apis/directory/digital-identity-management-api-TMF720/v4.0,v4; v5
Document Management API,TMF667,https://www.tmforum.org/oda/open-apis/directory/document-management-api-TMF667/v4.0,v4; v5
Dunning Case Management,TMF728,https://www.tmforum.org/oda/open-apis/directory/dunning-case-management-TMF728/v4.0,v4
Entity Catalog Management API,TMF662,https://www.tmforum.org/oda/open-apis/directory/entity-catalog-management-api-TMF662/v4.0,v3; v4
Entity Inventory Management API,TMF703,https://www.tmforum.org/oda/open-apis/directory/entity-inventory-management-api-TMF703/v4.0,v4
Event Management API,TMF688,https://www.tmforum.org/oda/open-apis/directory/event-management-api-TMF688/v4.0,v4
Federated ID Management API,TMF691,https://www.tmforum.org/oda/open-apis/directory/federated-id-management-api-TMF691/v4.0,v4; v5
General Test Artifact Management API,TMF710,https://www.tmforum.org/oda/open-apis/directory/general-test-artifact-management-api-TMF710/v4.0,v4
Geographic Address Management API,TMF673,https://www.tmforum.org/oda/open-apis/directory/geographic-address-management-api-TMF673/v4.0,v4; v5
Geographic Location Management API,TMF675,https://www.tmforum.org/oda/open-apis/directory/geographic-location-management-api-TMF675/v1.0.0,v1; v4
Geographic Site Management API,TMF674,https://www.tmforum.org/oda/open-apis/directory/geographic-site-management-api-TMF674/v4.0,v4; v5
Incident Management API,TMF724,https://www.tmforum.org/oda/open-apis/directory/incident-management-api-TMF724/v4.0,v4
Intent Management API,TMF921,https://www.tmforum.org/oda/open-apis/directory/intent-management-api-TMF921/v5.0,v4; v5
Metadata Catalog Management API,TMF725,https://www.tmforum.org/oda/open-apis/directory/metadata-catalog-management-api-TMF725/v4.0,v4
Open Gateway Onboarding and Ordering Component Suite,TMF931,https://www.tmforum.org/oda/open-apis/directory/open-gateway-onboarding-and-ordering-component-suite-TMF931/v5.2,v5
Performance Management API,TMF628,https://www.tmforum.org/oda/open-apis/directory/performance-management-api-TMF628/v5.0,v5
Performance Thresholding Management API,TMF649,https://www.tmforum.org/oda/open-apis/directory/performance-thresholding-management-api-TMF649/v3.0.0,v3; v4
Policy Management API,TMF723,https://www.tmforum.org/oda/open-apis/directory/policy-management-api-TMF723/v5.0,v5
Process Flow Management API,TMF701,https://www.tmforum.org/oda/open-apis/directory/process-flow-management-api-TMF701/v4.1,v4; v5
Self Care Management API,TMF910,https://www.tmforum.org/oda/open-apis/directory/self-care-management-api-TMF910/v1.0.0,v1
Test Case Management API,TMF704,https://www.tmforum.org/oda/open-apis/directory/test-case-management-api-TMF704/v4.0,v4
Test Data Management API,TMF706,https://www.tmforum.org/oda/open-apis/directory/test-data-management-api-TMF706/v4.0,v4
Test Environment Management API,TMF705,https://www.tmforum.org/oda/open-apis/directory/test-environment-management-api-TMF705/v4.0,v4
Test Execution Management API,TMF708,https://www.tmforum.org/oda/open-apis/directory/test-execution-management-api-TMF708/v4.0,v4
Test Result Management API,TMF707,https://www.tmforum.org/oda/open-apis/directory/test-result-management-api-TMF707/v4.0,v4
Test Scenario Management API,TMF709,https://www.tmforum.org/oda/open-apis/directory/test-scenario-management-api-TMF709/v4.0,v4
Topology Management API,TMF686,https://www.tmforum.org/oda/open-apis/directory/topology-management-api-TMF686/v4.0,v4
Trouble Ticket Management API,TMF621,https://www.tmforum.org/oda/open-apis/directory/trouble-ticket-management-api-TMF621/v5.0,v4; v5
User Role Permission Management API,TMF672,https://www.tmforum.org/oda/open-apis/directory/user-role-permission-management-api-TMF672/v4.0,v4; v5
Warranty Management,TMF715,https://www.tmforum.org/oda/open-apis/directory/warranty-management-TMF715/v4.0,v4
Work Qualification Management,TMF714,https://www.tmforum.org/oda/open-apis/directory/work-qualification-management-TMF714/v4.0,v4
